exp_id,number_of_variables_step1,number_of_variables_step2
1,451,476
2,464,508
3,463,497
4,463,477
5,473,514
6,483,528
7,481,512
8,458,491
9,457,500
10,460,494
11,449,505
12,491,486
13,468,490
14,466,489
15,460,493
16,467,492
17,462,522
18,465,487
19,438,479
20,470,488
21,484,520
22,474,486
23,474,516
24,433,512
25,482,507
26,483,517
27,476,486
28,429,496
29,466,511
30,454,531
31,452,521
32,466,504
33,451,475
34,479,518
35,434,482
36,491,521
37,464,537
38,477,516
39,473,500
40,469,494
41,470,495
42,432,502
43,462,502
44,449,495
45,463,523
46,452,517
47,433,494
48,454,489
49,429,487
50,431,492
